episode,ep_reward,ep_running_reward,loss,epsilon,mem_size,solved_pct
100,0.000,0.000,5.001,0.905,99000,0.00
200,0.000,0.000,5.527,0.819,198000,0.00
300,0.000,0.000,6.101,0.741,297000,0.00
400,0.000,0.000,7.021,0.670,396000,0.00
500,0.000,0.000,6.354,0.606,495000,0.00
600,0.000,2.677,7.622,0.549,500000,2.00
700,0.000,16.099,7.805,0.496,500000,13.00
800,200.000,57.516,7.347,0.449,500000,37.00
900,200.000,99.350,7.632,0.406,500000,58.00
1000,200.000,114.321,8.147,0.368,500000,58.00
1100,200.000,137.387,7.923,0.333,500000,75.00
1200,200.000,139.805,8.123,0.301,500000,72.00
1300,200.000,156.882,7.241,0.272,500000,83.00
1400,200.000,173.884,8.283,0.246,500000,91.00
1500,200.000,183.289,8.232,0.223,500000,94.00
1600,200.000,182.123,7.278,0.202,500000,90.00
1700,200.000,185.773,6.658,0.183,500000,94.00
1800,0.000,184.645,7.356,0.165,500000,92.00
1900,200.000,189.984,6.621,0.149,500000,97.00
2000,200.000,195.074,6.599,0.135,500000,99.00
2100,200.000,192.705,6.900,0.122,500000,96.00
2200,200.000,192.429,7.087,0.111,500000,96.00
2300,200.000,191.828,6.825,0.100,500000,95.00
2400,200.000,192.555,7.203,0.091,500000,97.00
2500,200.000,193.946,6.693,0.082,500000,97.00
2600,200.000,192.572,5.562,0.074,500000,96.00
2700,0.000,189.795,5.303,0.067,500000,95.00
2800,200.000,191.551,4.493,0.061,500000,96.00
2900,200.000,183.580,6.186,0.055,500000,90.00
3000,200.000,174.294,5.002,0.050,500000,85.00
